id,sifra,naziv,kolicina,cena_bezpdv,vrednost_bezpdv,cena_sapdv,vrednost_sapdv,subcategories,boja,my_id,brend,slka
3124,103490,Mikrotalasna M22 W  Vox,2,66.1157,132.23,80,160,Mikrotalasne,,779,Vox,https://serpapi.com/searches/67fabf4540cbee19d4180032/images/2fe3ab2bc1aaf26d417c1392f40b958072bb5d2a6e5fd4a7e818e216d6a5fb76.jpeg
3128,103494,Usisivac  Monsoon 2405 Vox,3,75.2066,225.62,91,273,Usisivači,Siva,780,Vox,https://serpapi.com/searches/67faaab31526df9103f8933b/images/0ab0968376698d14dad85102d96b68ca9f7d33df88988f0f116aea3d874b5920.jpeg
3158,103524,Ugradna rerna Vox EBB 2110 IX,1,175.2066,175.21,212,212,Ugradne rerne,,781,Vox,https://serpapi.com/searches/67fabf569d5bd690c8f5db01/images/6336b010b6b2f6fa05d0560ad95a989d98cf66d39674e5cbdeddf16bd69703b9.jpeg
3160,103526,Ugr.masina za sudje GSI 4641 Vox 45 cm sirine,2,230.5785,461.16,279,558,Ugradne mašine za suđe,,782,Vox,https://serpapi.com/searches/67fabf4ca8bf0233f7725e1e/images/640f84ef08cd297e77fa7b755342a06d5721cef97cb0e1379fd49ccd3e441304.jpeg
3200,103566,Staklena tegla sa slamkom MP-0030,2,1.6529,3.31,2,4,Stono posuđe,,783,Bez rasporeda po brendovima,https://serpapi.com/searches/67fac43223acccd12db320ba/images/708d3085057faf6dbc37c5618c9ceed27837bd589e617cceef7801941f16d8fb.jpeg
3228,103594,Pegla DBL 7003 Vox,8,19.8347,158.68,24,192,Pegle,,784,Vox,https://serpapi.com/searches/67fabf31ea04d3f3f11f69ca/images/2d5738ba85027a729e74d70dbc0b3f90d08e38603a0d02e954d270ce66fd36e1.jpeg
3243,103611,Pl.ser.Princ20 kuvarica,2,15.2893,30.58,18.5,37,Posuđe za pripremu hrane,,785,Bez rasporeda po brendovima,
3274,103659,Friteza na vruc vazduh Smart Air Pro 4L Xiaomi,1,103.3058,103.31,125,125,Friteza,,786,Xiaomi,https://serpapi.com/searches/67fab494ed3894488086be1b/images/b48ca493d61704f89295d774efc9d14b6d6f0cff20ef19335279adad652af3da.jpeg
3277,103662,Komb.frizider NRK619EPW4  Gorenje,1,437.1901,437.19,529,529,Frižideri,,787,Gorenje,https://serpapi.com/searches/67fab477f25526e528e91cc2/images/904a247f1e5527fe1419c02cf9f6cd543be9ffa1af8bcf76a9b704d4e6b03246.jpeg
3297,103683,Usis.VC1601BUWD Gorenje,1,71.0744,71.07,86,86,Usisivači,,788,Gorenje,https://serpapi.com/searches/67fab8ecb1d5886b0c58e79b/images/d3d8ecad486a2562bc3cf2933e250b6645d308fb8f1bb861a7629db1ea499e03.jpeg
3299,103685,Blender BSM 600 CLW Gorenje,3,31.405,94.21,38,114,Blenderi,,789,Gorenje,https://serpapi.com/searches/67fab47b22e4bc83292e7fbe/images/0c88d84efb11901a8b437cdd4cdcaf047b9d9ed8034aee2e67440e265862c94d.jpeg
3303,103689,Ugr.ploca EBC 410 DB Vox,2,163.64,327.28,198,396.01,Ugradne ploče,,790,Vox,https://serpapi.com/searches/67fabf3356ca3ec477cd28d7/images/5f012d15b1809b1d72bf23f283bd4e3cff3d13a51bdd695f2ccfc5ceb8f302fc.jpeg
3308,103694,Prava 150/1000 fi 150 braon,7,12.31,86.17,14.9,104.27,Dimne cijevi,,791,Bez rasporeda po brendovima,
3310,103696,Kriva fi 150 braon,7,9.9174,69.42,12,84,Dimne cijevi,,792,Bez rasporeda po brendovima,https://serpapi.com/searches/67fb775f09684b327a59fef3/images/950daf61dac999844771b663b10b172e7e0a556d38e2cac0055394e4799d35d8.jpeg
