130,100232,Mikrotalasna MO20E1W Gorenje,1,80.1653,80.17,97,97,Mikrotalasne,Gorenje,/images/products/130_mikrotalasna_mo20e1w_gorenje.jpg,Zapremina: 20 l\\\\\\\\nSnaga: 800 W\\\\\\\\nDimenzije: 45\\\\\\\\
193,100302,Rende BR 1043 Fiser,1,2.4793,2.48,3,3,Ostalo,Fisher,/images/products/193_rende_br_1043_fiser.jpg,failed
223,100334,CIJEV DIMNA SET-PLAVA,1,23.1405,23.14,28,28,Dimne cijevi,Bez rasporeda po brendovima,/images/products/223_cijev_dimna_set_plava.jpg,failed
1355,101503,Ap.za sendvice SM 2006 Vox,0,17.7686,0,21.5,0,Aparati za hranu,Vox,/images/products/1355_ap_za_sendvice_sm_2006_vox.jpg,More Information\\\\\\\\nImport Specifikacija\\\\\\\\nBojaCrnaDimenzije24\\\\\\\\
267,100378,SET CINIJA FISER 6/1 BR 81,9,2.8926,26.03,3.5,31.5,Stono posuđe,Fisher,/images/products/267_set_cinija_fiser_6_1_br_81.jpg,failed
370,100482,Plitka serpa eleg.lux 16 Bakery,4,17.2727,69.09,20.9,83.6,Stono posuđe,Bez rasporeda po brendovima,/images/products/370_plitka_serpa_eleg_lux_16_bakery.jpg,failed
73,100173,PEGLA DEL.ZX1,1,69.4215,69.42,84,84,Pegle,Bez rasporeda po brendovima,/images/products/73_pegla_del_zx1.jpg,fullfailed
1430,101580,TV LCD H50B7500 Briliiiant Smart 4k Hisense,0,458.6777,0,555,0,Televizori,Hisense,/images/products/1430_tv_lcd_h50b7500_briliiiant_smart_4k_hisense.jpg,fullfailed
1362,101510,LCD Tesla32T319SH,0,136.3636,0,165,0,Televizori,Bez rasporeda po brendovima,/images/products/1362_lcd_tesla32t319sh.jpg,fullfailed
177,100286,Mob.tel.C53 RMX3760 MIGHTY BLACK 6/128GB,1,140.4959,140.5,170,170,Mobilni telefoni,Bez rasporeda po brendovima,/images/products/177_mob_tel_c53_rmx3760_mighty_black_6_128gb.jpg,fullfailed
1427,101577,LED TV SAMSUNG UE43TU7022KXXH,0,351.2397,0,425,0,Televizori,Samsung,/images/products/1427_led_tv_samsung_ue43tu7022kxxh.jpg,fullfailed
1990,102193,Kutija za hleb i posude BR 55C Fiser,0,26.4463,0,32,0,Posuđe za pripremu hrane,Fisher,/images/products/1990_kutija_za_hleb_i_posude_br_55c_fiser.jpg,Karakteristike - Set kutija za hleb i 3 posude FG BR-55C\\\\n1 kutija za hleb\\\\n3 kuhinjske posude\\\\nBoja: bambus i crnaDimenzije kutije za hleb(š\\\\
1389,101539,LED TV 32CBH100 B Vox,0,82.6446,0,100,0,Televizori,Vox,/images/products/1389_led_tv_32cbh100_b_vox.jpg,fullfailed
1984,102187,AL.TIG.24 PLAVI KERAMIKA,0,11.7355,0,14.2,0,Posuđe za pripremu hrane,Bez rasporeda po brendovima,/images/products/1984_al_tig_24_plavi_keramika.jpg,fullfailed
